iter	Passed	Remaining
0	24	7262
1	48	7154
2	71	7124
3	93	6927
4	115	6802
5	140	6907
6	163	6842
7	184	6751
8	206	6662
9	230	6675
10	251	6610
11	275	6615
12	298	6595
13	319	6534
14	343	6528
15	366	6508
16	390	6505
17	414	6493
18	437	6468
19	458	6414
20	481	6391
21	505	6386
22	528	6362
23	550	6330
24	574	6319
25	596	6286
26	619	6264
27	641	6231
28	662	6193
29	684	6158
30	708	6151
31	732	6133
32	754	6100
33	777	6081
34	799	6053
35	820	6018
36	844	5999
37	866	5972
38	886	5933
39	908	5908
40	930	5879
41	953	5859
42	976	5833
43	986	5740
44	1009	5721
45	1033	5705
46	1055	5682
47	1077	5658
48	1100	5636
49	1122	5610
50	1144	5589
51	1167	5566
52	1190	5547
53	1212	5523
54	1234	5500
55	1258	5481
56	1279	5455
57	1301	5430
58	1325	5413
59	1347	5388
60	1368	5362
61	1389	5334
62	1411	5311
63	1432	5283
64	1454	5259
65	1477	5237
66	1499	5213
67	1520	5187
68	1543	5166
69	1564	5140
70	1585	5114
71	1609	5097
72	1632	5075
73	1652	5047
74	1673	5020
75	1695	4998
76	1718	4975
77	1742	4959
78	1765	4938
79	1788	4917
80	1811	4897
81	1834	4875
82	1856	4854
83	1878	4831
84	1900	4807
85	1924	4788
86	1947	4769
87	1969	4745
88	1993	4726
89	2017	4706
90	2037	4679
91	2060	4658
92	2082	4634
93	2104	4613
94	2127	4590
95	2149	4568
96	2172	4545
97	2194	4522
98	2217	4501
99	2240	4481
100	2263	4458
101	2288	4441
102	2310	4419
103	2334	4398
104	2356	4376
105	2378	4353
106	2401	4331
107	2423	4309
108	2448	4290
109	2470	4266
110	2491	4242
111	2514	4220
112	2535	4196
113	2558	4173
114	2579	4149
115	2600	4125
116	2625	4106
117	2648	4085
118	2671	4064
119	2695	4042
120	2715	4017
121	2739	3997
122	2761	3974
123	2784	3951
124	2807	3929
125	2830	3909
126	2852	3885
127	2876	3864
128	2899	3843
129	2922	3821
130	2944	3798
131	2966	3775
132	2989	3753
133	3010	3728
134	3033	3707
135	3056	3685
136	3079	3664
137	3102	3642
138	3124	3619
139	3146	3595
140	3171	3575
141	3194	3553
142	3216	3530
143	3238	3508
144	3260	3485
145	3282	3462
146	3305	3440
147	3328	3418
148	3350	3395
149	3372	3372
150	3395	3350
151	3418	3329
152	3441	3306
153	3465	3285
154	3486	3261
155	3509	3239
156	3533	3218
157	3556	3196
158	3580	3174
159	3601	3151
160	3623	3128
161	3645	3105
162	3667	3082
163	3689	3059
164	3713	3038
165	3735	3015
166	3758	2993
167	3780	2970
168	3804	2948
169	3827	2927
170	3848	2902
171	3868	2879
172	3889	2855
173	3910	2831
174	3932	2808
175	3954	2785
176	3975	2762
177	3998	2740
178	4022	2718
179	4044	2696
180	4067	2673
181	4089	2651
182	4111	2628
183	4133	2605
184	4155	2583
185	4178	2561
186	4198	2537
187	4220	2514
188	4242	2491
189	4264	2468
190	4286	2446
191	4308	2423
192	4330	2400
193	4354	2379
194	4376	2356
195	4396	2333
196	4419	2310
197	4441	2287
198	4463	2265
199	4486	2243
200	4508	2220
201	4530	2198
202	4552	2175
203	4574	2152
204	4595	2129
205	4616	2106
206	4637	2083
207	4658	2060
208	4682	2038
209	4703	2015
210	4725	1993
211	4748	1970
212	4768	1947
213	4791	1925
214	4813	1902
215	4835	1880
216	4856	1857
217	4879	1835
218	4901	1812
219	4922	1789
220	4945	1767
221	4967	1745
222	4990	1723
223	5012	1700
224	5036	1678
225	5059	1656
226	5082	1634
227	5102	1611
228	5124	1588
229	5143	1565
230	5166	1543
231	5188	1520
232	5209	1497
233	5229	1474
234	5250	1452
235	5272	1429
236	5293	1407
237	5316	1384
238	5337	1362
239	5359	1339
240	5380	1317
241	5403	1294
242	5425	1272
243	5446	1249
244	5468	1227
245	5491	1205
246	5513	1183
247	5536	1160
248	5558	1138
249	5579	1115
250	5602	1093
251	5624	1071
252	5646	1048
253	5668	1026
254	5690	1004
255	5711	981
256	5733	959
257	5754	936
258	5776	914
259	5800	892
260	5821	869
261	5844	847
262	5866	825
263	5889	803
264	5911	780
265	5933	758
266	5955	736
267	5977	713
268	5999	691
269	6019	668
270	6040	646
271	6063	624
272	6084	601
273	6106	579
274	6129	557
275	6151	534
276	6174	512
277	6197	490
278	6220	468
279	6241	445
280	6264	423
281	6285	401
282	6307	378
283	6331	356
284	6355	334
285	6378	312
286	6401	289
287	6422	267
288	6445	245
289	6467	223
290	6488	200
291	6509	178
292	6532	156
293	6554	133
294	6576	111
295	6598	89
296	6622	66
297	6645	44
298	6666	22
299	6691	0
